data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2023-08-22,610134016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-08-23,604662976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-08-24,603795968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-08-31,606337984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-09-01,603795968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-09-08,603796992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-12,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-24,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-26,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-26,606168000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-27,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-28,623643008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-28,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-10-31,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-01,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-04,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-07,604017984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-08,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-11,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-16,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-17,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-18,605470016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-21,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-23,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-24,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-28,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-11-30,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-01,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-05,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-09,603800000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-12,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-13,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-16,604334976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-16,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-21,629187968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-21,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-22,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-23,612992000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-24,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-27,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-29,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-12-29,608998976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-04,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-05,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-06,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-09,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-10,603801024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-11,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-13,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-16,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-19,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-20,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-23,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-24,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-27,604196992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-27,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-01-31,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-02,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-09,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-09,669198016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-10,603806016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-13,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-16,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-21,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-23,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-24,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-02-27,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-02,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-05,611660992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-05,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-06,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-08,603809024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-12,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-15,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-15,606904000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-16,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-16,603208000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-23,612497024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-23,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-26,608596992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-03-26,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-16,613772992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-16,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-17,613041024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-17,603012992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
