CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1044874.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.06,Resultado Financeiro,-473288.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.06.01,Receitas Financeiras,460541.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.06.02,Despesas Financeiras,-933829.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.07,Resultado Antes dos Tributos sobre o Lucro,571586.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,472590.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.08.01,Corrente,-127831.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.08.02,Diferido,600421.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.09,Resultado Líquido das Operações Continuadas,1044176.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.10,Resultado Líquido de Operações Descontinuadas,0.0000000000,S,07594978000178,2023-12-31,1
