CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.04.02,Outras Contas a Receber,0.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.05,Estoques,0.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.06,Ativos Biológicos,0.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.07,Tributos Diferidos,913498.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,0.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.08,Despesas Antecipadas,0.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.09,Créditos com Partes Relacionadas,22467.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.09.01,Créditos com Coligadas,0.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.09.03,Créditos com Controladores,0.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10,Outros Ativos Não Circulantes,251342.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.02,Ativos de Operações Descontinuadas,0.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.03,Depósitos Judiciais,81730.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.04,Impostos a Recuperar,6076.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.05,Outras Contas a Receber,108272.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.06,Despesas antecipadas,43189.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.01.10.07,Instrumentos financeiros derivativos,12075.0000000000,N,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.02,Investimentos,55411.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.02.01,Participações Societárias,55411.0000000000,S,07594978000178,2024-12-31,1
07.594.978/0001-78,2024-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02.02.01.01,Participações em Coligadas,-5.0000000000,S,07594978000178,2024-12-31,1
